race,date,meanIncome,county,percentage
black,2011,28429,Rockland,12.3
black,2011,7706,St. Lawrence,1.9
black,2011,26346,Saratoga,1.7
black,2011,11410,Schenectady,9.5
black,2011,11195,Steuben,1.9
black,2011,23269,Suffolk,7.5
black,2011,29055,Sullivan,8.0
black,2011,15427,Tompkins,4.3
black,2011,14164,Ulster,5.8
black,2011,11499,Warren,1.6
black,2011,12803,Wayne,3.8
black,2011,25520,Westchester,14.7
native,2011,25676,Albany,0.3
native,2011,14140,Bronx,0.5
native,2011,16181,Broome,0.4
native,2011,13066,Cattaraugus,4.2
native,2011,10891,Cayuga,0.2
native,2011,11621,Chautauqua,0.6
native,2011,0,Chemung,0.1
native,2011,0,Clinton,0.6
native,2011,25347,Dutchess,0.2
native,2011,23618,Erie,0.5
native,2011,8642,Jefferson,0.4
native,2011,16874,Kings,0.3
native,2011,0,Livingston,0.1
native,2011,26107,Madison,1.4
native,2011,8259,Monroe,0.2
native,2011,11835,Nassau,0.2
native,2011,15551,New York,0.3
native,2011,19382,Niagara,1.1
native,2011,12107,Oneida,0.3
native,2011,20254,Onondaga,0.6
native,2011,0,Ontario,0.0
native,2011,13422,Orange,0.4
native,2011,7850,Oswego,0.5
native,2011,0,Putnam,0.0
native,2011,21389,Queens,0.3
native,2011,0,Rensselaer,0.2
native,2011,0,Richmond,0.1
native,2011,28400,Rockland,0.3
native,2011,19200,St. Lawrence,0.9
native,2011,0,Saratoga,0.0
native,2011,0,Schenectady,0.1
native,2011,33696,Steuben,0.4
native,2011,28170,Suffolk,0.2
native,2011,0,Sullivan,0.1
native,2011,0,Tompkins,0.2
native,2011,0,Ulster,0.1
native,2011,0,Warren,0.2
native,2011,0,Wayne,0.2
native,2011,21341,Westchester,0.1
asian,2011,21435,Albany,5.1
asian,2011,19202,Bronx,3.5
asian,2011,15764,Broome,3.8
asian,2011,0,Cattaraugus,0.4
asian,2011,0,Cayuga,0.2
asian,2011,38304,Chautauqua,0.7
asian,2011,12623,Chemung,1.6
asian,2011,10970,Clinton,0.6
asian,2011,35358,Dutchess,4.0
asian,2011,25282,Erie,2.7
asian,2011,35625,Jefferson,1.6
asian,2011,20523,Kings,10.6
asian,2011,2528,Livingston,1.5
asian,2011,31769,Madison,0.6
asian,2011,22339,Monroe,3.3
asian,2011,38148,Nassau,7.8
asian,2011,48872,New York,11.0
asian,2011,19005,Niagara,1.1
asian,2011,20473,Oneida,3.2
asian,2011,20901,Onondaga,3.2
asian,2011,22474,Ontario,1.1
asian,2011,33970,Orange,2.5
asian,2011,29515,Oswego,0.3
asian,2011,53751,Putnam,1.9
asian,2011,22264,Queens,23.2
asian,2011,16553,Rensselaer,2.0
asian,2011,26968,Richmond,7.9
asian,2011,42731,Rockland,6.6
asian,2011,49995,St. Lawrence,0.8
asian,2011,42935,Saratoga,1.9
asian,2011,25016,Schenectady,3.4
asian,2011,21615,Steuben,1.5
asian,2011,30704,Suffolk,3.4
asian,2011,28180,Sullivan,1.8
asian,2011,15869,Tompkins,9.6
asian,2011,25363,Ulster,1.7
asian,2011,19016,Warren,0.4
asian,2011,17932,Wayne,0.6
asian,2011,48673,Westchester,5.5
islander,2011,0,Albany,0.0
islander,2011,6095,Bronx,0.1
islander,2011,0,Broome,0.0
islander,2011,0,Cattaraugus,0.0
islander,2011,0,Cayuga,0.0
islander,2011,0,Chautauqua,0.0
islander,2011,0,Chemung,0.0
islander,2011,0,Clinton,0.0
islander,2011,0,Dutchess,0.0
islander,2011,0,Erie,0.0
islander,2011,0,Jefferson,0.2
islander,2011,0,Kings,0.1
islander,2011,0,Livingston,0.1
islander,2011,0,Madison,0.0
islander,2011,0,Monroe,0.0
islander,2011,0,Nassau,0.0
islander,2011,0,New York,0.1
islander,2011,0,Niagara,0.0
islander,2011,0,Oneida,0.0
islander,2011,0,Onondaga,0.0
islander,2011,0,Ontario,0.0
islander,2011,0,Orange,0.0
islander,2011,0,Oswego,0.0
islander,2011,0,Putnam,0.0
islander,2011,29516,Queens,0.1
islander,2011,0,Rensselaer,0.0
islander,2011,0,Richmond,0.0
islander,2011,0,Rockland,0.0
islander,2011,0,St. Lawrence,0.2
islander,2011,0,Saratoga,0.0
islander,2011,0,Schenectady,0.0
islander,2011,0,Steuben,0.0
islander,2011,0,Suffolk,0.0
islander,2011,0,Sullivan,0.0
islander,2011,0,Tompkins,0.0
islander,2011,0,Ulster,0.0
islander,2011,0,Warren,0.0
islander,2011,0,Wayne,0.0
islander,2011,0,Westchester,0.0
other,2011,17516,Albany,1.6
other,2011,13053,Bronx,35.7
other,2011,2216,Broome,0.3
other,2011,0,Cattaraugus,0.2
other,2011,2064,Cayuga,0.5
other,2011,7022,Chautauqua,1.8
other,2011,0,Chemung,0.1
other,2011,0,Clinton,1.1
other,2011,11955,Dutchess,5.1
other,2011,11555,Erie,1.7
other,2011,14793,Jefferson,2.2
other,2011,12836,Kings,9.4
other,2011,0,Livingston,0.8
other,2011,0,Madison,0.3
other,2011,11725,Monroe,2.4
other,2011,18633,Nassau,6.9
other,2011,15229,New York,13.5
other,2011,14614,Niagara,0.4
other,2011,10888,Oneida,1.5
other,2011,13320,Onondaga,0.8
other,2011,11810,Ontario,1.7
other,2011,17783,Orange,9.0
other,2011,2140,Oswego,0.7
other,2011,37707,Putnam,3.9
